,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,distance
14716,15014,1,2015-06-29 02:55:31,2015-06-29 02:57:33,1,-73.99503326416014,40.742958068847656,-73.99578094482422,40.74408721923828,1,3.5,0.5,0.5,1.44,0.0,6.24,0.14051418673805657
14783,15085,2,2015-06-29 03:27:02,2015-06-29 03:31:41,2,-74.00418853759764,40.751731872558594,-73.99085998535155,40.74546051025391,2,5.5,0.5,0.5,0.0,0.0,6.8,1.3221322577250743
14844,15146,2,2015-06-29 19:49:43,2015-06-29 19:58:45,1,-73.96504974365233,40.75537872314453,-73.95614624023438,40.782020568847656,1,9.5,1.0,0.5,2.26,0.0,13.56,3.056811830392515
14963,15266,2,2015-06-29 23:00:07,2015-06-29 23:39:52,2,-73.77680969238281,40.64574813842773,-74.00373077392578,40.74820709228516,1,52.0,0.0,0.5,7.0,5.54,65.34,22.27294985302243
14970,15273,2,2015-06-29 12:24:32,2015-06-29 12:41:41,5,-73.99413299560547,40.74610137939453,-73.9890899658203,40.75837707519531,1,11.0,0.0,0.5,2.36,0.0,14.16,1.4300166703706187
15042,15348,2,2015-06-29 19:27:59,2015-06-29 19:50:46,1,-74.00108337402342,40.75183868408203,-73.98331451416014,40.75929641723633,2,16.0,1.0,0.5,0.0,0.0,17.8,1.7115945308926368
15106,15413,2,2015-06-29 16:17:16,2015-06-29 16:36:25,1,-73.9737548828125,40.750938415527344,-73.9798355102539,40.76730728149414,1,12.5,1.0,0.5,2.86,0.0,17.16,1.8914093329645014
15107,15414,1,2015-06-29 00:27:21,2015-06-29 00:30:02,2,-73.99686431884764,40.73707962036133,-73.99588012695312,40.73298263549805,2,4.0,0.5,0.5,0.0,0.0,5.3,0.4631949845646324
15158,15465,1,2015-06-29 11:09:29,2015-06-29 11:28:44,1,-73.93318176269531,40.85586166381836,-74.00360870361328,40.7594108581543,2,24.5,0.0,0.5,0.0,0.0,25.3,12.257689706561756
15194,15502,2,2015-06-29 20:27:54,2015-06-29 20:46:01,2,-74.0151138305664,40.714134216308594,-73.97786712646483,40.68411636352539,1,17.0,0.5,0.5,2.0,0.0,20.3,4.584069141112452
15253,15562,1,2015-06-29 19:05:24,2015-06-29 19:12:40,1,-73.96112823486328,40.76088333129882,-73.95098876953125,40.778667449951165,1,7.5,1.0,0.5,1.85,0.0,11.15,2.1546519539372486
15264,15573,1,2015-06-29 12:13:26,2015-06-29 12:34:25,1,-74.00707244873048,40.7048454284668,-73.9674072265625,40.76327896118164,1,21.5,0.0,0.5,4.0,0.0,26.3,7.308952633052345
15299,15608,1,2015-06-29 05:53:20,2015-06-29 05:57:56,1,-73.9522933959961,40.77212905883789,-73.97274017333984,40.74342346191406,1,8.5,0.5,0.5,1.0,0.0,10.8,3.628016231220695
15381,15691,2,2015-06-29 17:40:55,2015-06-29 18:22:43,6,-73.78176879882812,40.64477157592773,-73.9863739013672,40.75128173828125,2,52.0,0.0,0.5,0.0,5.54,58.34,20.929969876725263
15481,15792,1,2015-06-29 11:54:07,2015-06-29 12:14:32,1,-73.87453460693358,40.77408599853516,-73.97256469726561,40.755672454833984,1,29.0,0.0,0.5,7.05,5.54,42.39,8.50872281314423
15482,15793,2,2015-06-29 12:12:00,2015-06-29 12:40:09,2,-74.00556182861328,40.740989685058594,-73.97522735595702,40.75027847290039,2,18.0,0.0,0.5,0.0,0.0,18.8,2.757169005051365
15553,15864,2,2015-06-29 17:32:05,2015-06-29 17:40:14,1,-74.00647735595702,40.71663665771485,-73.9935073852539,40.72439193725586,1,7.0,1.0,0.5,1.0,0.0,9.8,1.3926948011418947
15560,15871,1,2015-06-29 20:53:19,2015-06-29 21:07:05,1,-73.95592498779298,40.77216720581056,-73.92317962646483,40.76764297485352,1,15.0,0.5,0.5,2.0,0.0,18.3,2.8039506032227863
15579,15890,2,2015-06-29 06:14:31,2015-06-29 06:24:29,1,-74.00042724609375,40.73244857788086,-73.96318817138672,40.758419036865234,1,12.0,0.0,0.5,2.56,0.0,15.36,4.265247996833393
15581,15892,2,2015-06-29 18:58:59,2015-06-29 19:04:05,1,-74.00272369384764,40.72489929199219,-74.00668334960938,40.730751037597656,2,5.5,1.0,0.5,0.0,0.0,7.3,0.7314755549641105
15648,15959,1,2015-06-29 18:13:57,2015-06-29 18:22:15,1,-73.98776245117188,40.74089431762695,-73.99791717529298,40.74125289916992,2,7.0,1.0,0.5,0.0,0.0,8.8,0.8567197063631313
15688,16000,2,2015-06-29 14:06:03,2015-06-29 14:17:55,2,-73.99842834472656,40.71992111206056,-73.98834228515625,40.73963165283203,1,9.5,0.0,0.5,2.06,0.0,12.36,2.351461410618106
15692,16004,1,2015-06-29 13:33:38,2015-06-29 13:41:55,1,-73.99054718017578,40.75749588012695,-73.99156951904298,40.7513427734375,2,7.0,0.0,0.5,0.0,0.0,7.8,0.6898085969068928
15712,16024,2,2015-06-29 20:53:09,2015-06-29 21:06:26,1,-73.98545074462889,40.778541564941406,-73.9840316772461,40.74860000610352,2,12.0,0.5,0.5,0.0,0.0,13.3,3.332539686188286
15728,16040,1,2015-06-29 10:51:36,2015-06-29 11:00:59,2,-73.99083709716798,40.76087951660156,-73.9963150024414,40.74685287475586,2,8.0,0.0,0.5,0.0,0.0,8.8,1.6270232705633796
15743,16057,2,2015-06-29 05:49:04,2015-06-29 05:55:27,1,-73.96636962890625,40.75739669799805,-73.98241424560547,40.74566650390625,1,7.0,0.5,0.5,1.66,0.0,9.96,1.8788650799322932
15766,16080,1,2015-06-29 00:10:00,2015-06-29 00:19:17,1,-73.99119567871094,40.77465057373047,-73.99016571044923,40.757606506347656,2,8.0,0.5,0.5,0.0,0.0,9.3,1.897793347533866
15792,16106,2,2015-06-29 11:19:41,2015-06-29 11:34:00,1,-73.96217346191406,40.76778793334961,-73.99368286132812,40.75973129272461,2,11.5,0.0,0.5,0.0,0.0,12.3,2.8017345915981715
