,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,distance
14712,15010,2,2015-06-30 00:27:11,2015-06-30 01:02:36,1,-73.78202819824217,40.64474868774414,-73.98041534423827,40.78409576416016,1,52.0,0.0,0.5,11.67,5.54,70.01,22.803244848549586
14716,15014,1,2015-06-29 02:55:31,2015-06-29 02:57:33,1,-73.99503326416014,40.742958068847656,-73.99578094482422,40.74408721923828,1,3.5,0.5,0.5,1.44,0.0,6.24,0.14051418673805657
14765,15067,1,2015-06-30 16:33:17,2015-06-30 16:40:41,1,-73.96153259277344,40.770069122314446,-73.97164916992188,40.7663459777832,2,6.5,1.0,0.5,0.0,0.0,8.3,0.9475188336186919
14783,15085,2,2015-06-29 03:27:02,2015-06-29 03:31:41,2,-74.00418853759764,40.751731872558594,-73.99085998535155,40.74546051025391,2,5.5,0.5,0.5,0.0,0.0,6.8,1.3221322577250743
14822,15124,2,2015-06-30 17:35:35,2015-06-30 17:48:11,1,-73.96852111816406,40.79920959472656,-73.93907928466798,40.804981231689446,1,10.5,1.0,0.5,2.46,0.0,14.76,2.5607155397608294
14844,15146,2,2015-06-29 19:49:43,2015-06-29 19:58:45,1,-73.96504974365233,40.75537872314453,-73.95614624023438,40.782020568847656,1,9.5,1.0,0.5,2.26,0.0,13.56,3.056811830392515
14951,15254,2,2015-06-30 23:55:18,2015-07-01 00:09:33,3,-73.9607696533203,40.781036376953125,-73.99101257324217,40.73957443237305,1,13.0,0.5,0.5,3.58,0.0,17.88,5.26887036299192
14963,15266,2,2015-06-29 23:00:07,2015-06-29 23:39:52,2,-73.77680969238281,40.64574813842773,-74.00373077392578,40.74820709228516,1,52.0,0.0,0.5,7.0,5.54,65.34,22.27294985302243
14970,15273,2,2015-06-29 12:24:32,2015-06-29 12:41:41,5,-73.99413299560547,40.74610137939453,-73.9890899658203,40.75837707519531,1,11.0,0.0,0.5,2.36,0.0,14.16,1.4300166703706187
14986,15289,1,2015-06-30 18:29:49,2015-06-30 18:33:26,1,-73.98005676269531,40.770671844482415,-73.96602630615233,40.77236557006836,1,5.5,1.0,0.5,1.0,0.0,8.3,1.196798127992739
14988,15291,2,2015-06-30 22:18:22,2015-06-30 22:37:27,2,-73.9859848022461,40.74665832519531,-73.97797393798828,40.783653259277344,1,15.5,0.5,0.5,3.36,0.0,20.16,4.169914448286713
14992,15295,1,2015-06-30 01:59:07,2015-06-30 02:21:53,1,-74.0021743774414,40.72808837890625,-73.94164276123048,40.830379486083984,1,28.5,0.5,0.5,5.95,0.0,35.75,12.467892062420344
15018,15323,1,2015-06-30 10:14:30,2015-06-30 10:41:45,2,-73.98255920410156,40.74251174926758,-74.00772857666014,40.722686767578125,1,19.5,0.0,0.5,1.0,0.0,21.3,3.059906726447897
15025,15331,2,2015-06-30 12:13:00,2015-06-30 12:22:44,2,-73.9424285888672,40.799015045166016,-73.93668365478516,40.81964111328125,2,9.0,0.0,0.5,0.0,0.0,9.8,2.344660997546599
15042,15348,2,2015-06-29 19:27:59,2015-06-29 19:50:46,1,-74.00108337402342,40.75183868408203,-73.98331451416014,40.75929641723633,2,16.0,1.0,0.5,0.0,0.0,17.8,1.7115945308926368
15068,15374,1,2015-06-30 23:26:23,2015-07-01 00:00:56,1,-74.00148010253906,40.7310676574707,-73.90679931640625,40.760112762451165,1,27.5,0.5,0.5,2.0,0.0,30.8,8.607953401688384
15095,15401,1,2015-06-30 22:16:58,2015-06-30 22:53:19,1,-73.97736358642578,40.75944519042969,-74.0062484741211,40.70656967163086,1,24.5,0.5,0.5,6.45,0.0,32.25,6.365315982930746
15106,15413,2,2015-06-29 16:17:16,2015-06-29 16:36:25,1,-73.9737548828125,40.750938415527344,-73.9798355102539,40.76730728149414,1,12.5,1.0,0.5,2.86,0.0,17.16,1.8914093329645014
15107,15414,1,2015-06-29 00:27:21,2015-06-29 00:30:02,2,-73.99686431884764,40.73707962036133,-73.99588012695312,40.73298263549805,2,4.0,0.5,0.5,0.0,0.0,5.3,0.4631949845646324
15108,15415,1,2015-06-30 23:37:04,2015-06-30 23:48:40,1,-73.98599243164062,40.7588348388672,-73.95195007324217,40.77825927734375,1,11.5,0.5,0.5,2.55,0.0,15.35,3.590546005117555
15125,15432,1,2015-06-30 14:58:29,2015-06-30 15:09:53,1,-73.98262023925781,40.75434112548828,-73.97349548339844,40.7578582763672,1,8.0,0.0,0.5,1.76,0.0,10.56,0.8626270530529717
15138,15445,1,2015-06-30 19:09:52,2015-06-30 19:37:50,2,-74.01013946533203,40.71202850341797,-73.96011352539062,40.72971725463867,1,21.5,1.0,0.5,2.0,0.0,25.3,4.6536106527251295
15158,15465,1,2015-06-29 11:09:29,2015-06-29 11:28:44,1,-73.93318176269531,40.85586166381836,-74.00360870361328,40.7594108581543,2,24.5,0.0,0.5,0.0,0.0,25.3,12.257689706561756
15166,15473,1,2015-06-30 08:02:31,2015-06-30 08:09:48,1,-73.96087646484375,40.76992416381836,-73.97535705566406,40.75976943969727,2,7.0,0.0,0.5,0.0,0.0,7.8,1.6625244854614536
15194,15502,2,2015-06-29 20:27:54,2015-06-29 20:46:01,2,-74.0151138305664,40.714134216308594,-73.97786712646483,40.68411636352539,1,17.0,0.5,0.5,2.0,0.0,20.3,4.584069141112452
15198,15506,2,2015-06-30 09:50:35,2015-06-30 09:55:55,4,-73.96588897705078,40.76232147216797,-73.95276641845702,40.76828384399414,2,6.0,0.0,0.5,0.0,0.0,6.8,1.2891708748684478
